tx	gene_id	SRR29279085	SRR29279086	SRR29279087	SRR29279088	SRR29279093	SRR29279094	SRR29279095	SRR29279096	SRR29279101	SRR29279102	SRR29279103	SRR29279104	SRR29279109	SRR29279110	SRR29279111	SRR29279112	SRR29279117	SRR29279118	SRR29279119	SRR29279120	SRR29279125	SRR29279126	SRR29279127	SRR29279128	SRR29279133	SRR29279134	SRR29279135	SRR29279136	SRR29279141	SRR29279142	SRR29279143	SRR29279144	SRR29279149	SRR29279150	SRR29279151	SRR29279152	SRR29279157	SRR29279158	SRR29279159	SRR29279160	SRR29279161	SRR29279162	SRR29279163	SRR29279164	SRR29279165	SRR29279166	SRR29279167	SRR29279168	SRR29279169	SRR29279170	SRR29279171	SRR29279172	SRR29279173	SRR29279174	SRR29279175	SRR29279176	SRR29279177	SRR29279178	SRR29279179	SRR29279180
C1_00210C_A-T	C1_00210C_A	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905
C1_00220W_A-T	C1_00220W_A	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385
C1_00230C_A-T	C1_00230C_A	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037
C1_00240C_A-T	C1_00240C_A	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935
C1_00270W_A-T	C1_00270W_A	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650
C1_00280C_A-T	C1_00280C_A	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401
C1_00290W_A-T	C1_00290W_A	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712
C1_00310W_A-T	C1_00310W_A	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307
C1_00320W_A-T	C1_00320W_A	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536
C1_00330C_A-T	C1_00330C_A	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299
C1_00340W_A-T	C1_00340W_A	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497
C1_00350C_A-T	C1_00350C_A	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626
C1_00360W_A-T	C1_00360W_A	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094
C1_00370W_A-T	C1_00370W_A	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947
C1_00380C_A-T	C1_00380C_A	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988
C1_00390W_A-T	C1_00390W_A	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954
C1_00400W_A-T	C1_00400W_A	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899
C1_00410C_A-T	C1_00410C_A	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379
C1_00420W_A-T	C1_00420W_A	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722
C1_00430W_A-T	C1_00430W_A	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427
C1_00440W_A-T	C1_00440W_A	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187
C1_00450C_A-T	C1_00450C_A	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203
C1_00460W_A-T	C1_00460W_A	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167
C1_00470C_A-T	C1_00470C_A	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076
C1_00480C_A-T	C1_00480C_A	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006
C1_00490C_A-T	C1_00490C_A	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001
C1_00500C_A-T	C1_00500C_A	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779
C1_00510W_A-T	C1_00510W_A	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680
C1_00520W_A-T	C1_00520W_A	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419
C1_00530C_A-T	C1_00530C_A	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192
C1_00540C_A-T	C1_00540C_A	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919
C1_00550W_A-T	C1_00550W_A	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661
C1_00560W_A-T	C1_00560W_A	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923
C1_00570C_A-T	C1_00570C_A	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135
C1_00580W_A-T	C1_00580W_A	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680
C1_00590W_A-T	C1_00590W_A	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031
C1_00600W_A-T	C1_00600W_A	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358
C1_00610W_A-T	C1_00610W_A	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523
C1_00620W_A-T	C1_00620W_A	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692
C1_00630W_A-T	C1_00630W_A	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496
C1_00640C_A-T	C1_00640C_A	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653
C1_00650C_A-T	C1_00650C_A	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431
C1_00660C_A-T	C1_00660C_A	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764
C1_00670C_A-T	C1_00670C_A	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502	1502
C1_00680W_A-T	C1_00680W_A	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874	1874
C1_00690W_A-T	C1_00690W_A	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792	2792
C1_00700W_A-T	C1_00700W_A	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116
C1_00710C_A-T	C1_00710C_A	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100
C1_00720W_A-T	C1_00720W_A	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918	2.918
C1_00730C_A-T	C1_00730C_A	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580	1580
